id;Date
658;01/01/1967 00:00
659;17/04/1967 00:00
660;11/10/1967 00:00
661;01/01/1968 00:00
662;05/06/1968 00:00
663;19/08/1968 00:00
664;13/01/1968 00:00
665;02/02/1968 00:00
666;21/10/1968 00:00
667;01/01/1969 00:00
668;02/02/1969 00:00
669;09/02/1969 00:00
670;02/05/1969 00:00
671;11/05/1969 00:00
672;19/05/1969 00:00
673;04/08/1969 00:00
674;02/12/1969 00:00
675;28/12/1969 00:00
676;02/02/1970 00:00
677;27/02/1970 00:00
678;22/04/1970 00:00
679;30/04/1970 00:00
680;27/06/1970 00:00
681;05/07/1970 00:00
682;20/08/1970 00:00
683;05/10/1970 00:00
684;01/01/1971 00:00
685;13/02/1971 00:00
686;04/03/1971 00:00
687;01/04/1971 00:00
688;01/05/1971 00:00
689;04/05/1971 00:00
690;14/05/1971 00:00
691;23/07/1971 00:00
692;15/08/1971 00:00
693;01/01/1972 00:00
694;27/08/1971 00:00
695;19/02/1972 00:00
696;01/04/1972 00:00
697;01/01/1973 00:00
698;01/03/1973 00:00
699;01/05/1972 00:00
700;15/05/1972 00:00
701;11/06/1972 00:00
702;01/09/1972 00:00
703;18/03/1973 00:00
704;01/08/1973 00:00
705;27/08/1973 00:00
706;27/04/1973 00:00
707;17/06/1973 00:00
708;01/01/1974 00:00
709;15/05/1974 00:00
710;01/03/1974 00:00
711;01/04/1974 00:00
712;03/04/1974 00:00
713;29/04/1974 00:00
714;02/05/1974 00:00
715;17/05/1974 00:00
716;03/07/1974 00:00
717;30/10/1974 00:00
718;01/01/1975 00:00
719;01/03/1975 00:00
720;01/04/1975 00:00
721;01/06/1975 00:00
722;25/06/1975 00:00
723;22/07/1975 00:00
724;25/07/1975 00:00
725;28/07/1975 00:00
726;10/11/1975 00:00
727;02/01/1976 00:00
728;01/02/1976 00:00
729;04/05/1976 00:00
730;02/02/1976 00:00
731;01/01/1977 00:00
732;28/01/1977 00:00
733;01/03/1976 00:00
734;27/12/1977 00:00
735;31/03/1976 00:00
736;01/04/1976 00:00
737;01/02/1978 00:00
738;11/02/1978 00:00
739;12/07/1976 00:00
740;10/08/1976 00:00
741;26/12/1976 00:00
742;27/08/1976 00:00
743;13/03/1977 00:00
744;12/04/1978 00:00
745;25/05/1978 00:00
746;04/08/1978 00:00
747;01/01/1978 00:00
748;01/04/1978 00:00
749;14/01/1978 00:00
750;24/01/1978 00:00
751;26/01/1978 00:00
752;10/07/1978 00:00
753;05/09/1978 00:00
754;01/01/1979 00:00
755;08/02/1979 00:00
756;14/02/1979 00:00
757;24/02/1979 00:00
758;29/03/1979 00:00
759;21/02/1979 00:00
760;05/03/1979 00:00
761;03/05/1979 00:00
762;01/04/1979 00:00
763;01/01/1980 00:00
764;12/05/1979 00:00
765;05/06/1979 00:00
766;07/08/1979 00:00
767;06/09/1979 00:00
768;13/09/1979 00:00
769;10/11/1979 00:00
770;20/05/1980 00:00
771;28/05/1980 00:00
772;18/12/1979 00:00
773;01/06/1980 00:00
774;06/07/1980 00:00
775;14/07/1980 00:00
776;04/12/1980 00:00
777;21/03/1980 00:00
778;26/12/1980 00:00
779;01/01/1981 00:00
780;18/02/1981 00:00
781;23/02/1981 00:00
782;29/04/1981 00:00
783;03/07/1981 00:00
784;28/07/1981 00:00
785;01/08/1981 00:00
786;28/10/1981 00:00
787;01/01/1982 00:00
788;30/10/1981 00:00
789;01/06/1982 00:00
790;19/01/1982 00:00
791;01/02/1982 00:00
792;05/01/1982 00:00
793;14/02/1982 00:00
794;22/02/1982 00:00
795;28/02/1982 00:00
796;17/04/1982 00:00
797;31/05/1982 00:00
798;14/06/1982 00:00
799;14/10/1982 00:00
800;01/01/1983 00:00
801;13/07/1982 00:00
802;10/01/1983 00:00
803;06/03/1983 00:00
804;19/03/1983 00:00
805;03/05/1983 00:00
806;01/07/1983 00:00
807;14/07/1983 00:00
808;11/01/1983 00:00
809;02/06/1983 00:00
810;24/06/1983 00:00
811;28/02/1983 00:00
812;10/05/1983 00:00
813;08/07/1983 00:00
814;03/08/1983 00:00
815;25/10/1983 00:00
816;07/12/1983 00:00
817;22/12/1983 00:00
818;01/06/1984 00:00
819;01/01/1984 00:00
820;05/02/1984 00:00
821;04/01/1984 00:00
822;13/02/1984 00:00
823;25/04/1984 00:00
824;27/04/1984 00:00
825;15/06/1984 00:00
826;13/04/1984 00:00
827;30/04/1984 00:00
828;08/05/1984 00:00
829;03/05/1985 00:00
830;15/07/1984 00:00
831;02/09/1984 00:00
832;03/09/1984 00:00
833;06/10/1984 00:00
834;01/01/1985 00:00
835;11/10/1984 00:00
836;23/02/1985 00:00
837;30/05/1985 00:00
838;01/05/1985 00:00
839;23/06/1985 00:00
840;21/01/1986 00:00
841;08/02/1986 00:00
842;31/03/1985 00:00
843;31/05/1985 00:00
844;31/03/1986 00:00
845;24/12/1986 00:00
846;01/07/1985 00:00
847;02/12/1985 00:00
848;12/12/1985 00:00
849;01/08/1986 00:00
850;01/01/1986 00:00
851;12/11/1992 00:00
852;30/03/1986 00:00
853;13/05/1987 00:00
854;17/11/1987 00:00
855;23/03/1987 00:00
856;27/07/2009 00:00
857;19/04/2011 00:00
858;15/02/2011 00:00
859;15/05/2011 00:00
860;15/06/2011 00:00
861;17/04/2011 00:00
862;12/06/2011 00:00
863;02/06/2011 00:00
864;10/05/2011 00:00
865;17/06/2011 00:00
866;29/05/2011 00:00
867;07/11/2010 00:00
868;04/09/2010 00:00
869;02/02/2003 00:00
870;13/12/2008 00:00
871;21/06/2011 00:00
872;06/07/2011 00:00
873;12/07/2011 00:00
874;20/08/2011 00:00
875;21/08/2011 00:00
876;24/09/2010 00:00
877;20/11/2009 00:00
878;28/08/2011 00:00
879;23/03/2012 00:00
880;24/03/2012 00:00
881;19/08/2005 00:00
882;11/07/2012 00:00
883;13/03/1989 00:00
884;11/03/2011 00:00
885;23/06/2012 00:00
886;02/10/2012 00:00
887;09/09/2012 00:00
888;20/05/2012 00:00
889;28/05/2012 00:00
890;31/07/2012 00:00
891;08/07/2013 00:00
892;06/07/2013 00:00
893;06/06/2012 00:00
894;27/05/2013 00:00
895;19/06/2013 00:00
896;24/05/2012 00:00
897;12/07/2010 00:00
898;19/10/2013 00:00
899;24/06/2012 00:00
900;23/07/2012 00:00
901;10/09/2012 00:00
902;01/07/2014 00:00
903;01/06/2014 00:00
904;26/02/2012 00:00
905;04/08/2014 00:00
906;22/10/2014 00:00
907;23/01/2014 00:00
908;15/04/2014 00:00
909;20/10/2014 00:00
910;21/12/2013 00:00
911;29/04/2013 00:00
912;05/07/2014 00:00
913;20/12/2013 00:00
914;14/04/2014 00:00
915;25/06/2014 00:00
916;15/06/2014 00:00
917;01/07/2015 00:00
918;02/08/2015 00:00
919;17/04/2015 00:00
920;07/03/2015 00:00
921;22/06/2015 00:00
922;28/03/2015 00:00
923;25/04/2015 00:00
924;15/02/2015 00:00
925;28/05/2015 00:00
926;18/04/2015 00:00
927;16/02/2015 00:00
928;09/05/2015 00:00
929;29/08/2015 00:00
930;08/04/2015 00:00
931;12/06/2015 00:00
932;22/07/2015 00:00
933;04/08/2015 00:00
934;29/06/2015 00:00
935;12/07/2015 00:00
936;29/09/2016 00:00
937;27/11/2016 00:00
938;25/12/2016 00:00
939;26/10/2016 00:00
940;21/07/2016 00:00
941;14/11/2016 00:00
942;24/02/2016 00:00
943;23/03/2016 00:00
944;08/07/2016 00:00
945;29/03/2016 00:00
946;28/03/2016 00:00
947;27/06/2016 00:00
948;27/04/2016 00:00
949;09/10/2016 00:00
950;05/04/2016 00:00
951;23/06/2016 00:00
952;20/07/2016 00:00
953;04/08/2016 00:00
954;21/08/2016 00:00
955;03/07/2016 00:00
956;12/10/2016 00:00
957;06/10/2016 00:00
958;09/03/2016 00:00
959;13/10/2016 00:00
960;15/06/2016 00:00
961;24/06/2016 00:00
962;18/07/2016 00:00
963;28/06/2016 00:00
964;15/07/2016 00:00
965;18/04/2016 00:00
966;30/07/2016 00:00
967;30/04/2016 00:00
968;17/02/1905 00:00
969;03/08/1908 00:00
970;10/07/1912 00:00
971;13/11/1913 00:00
972;09/07/1915 00:00
973;19/11/1917 00:00
974;01/01/1925 00:00
975;31/12/1918 00:00
976;31/12/1919 00:00
977;31/12/1920 00:00
978;21/03/1920 00:00
979;30/06/1986 00:00
980;04/04/1986 00:00
981;24/07/1986 00:00
982;11/06/1988 00:00
983;11/07/1988 00:00
984;08/07/1988 00:00
985;09/05/1989 00:00
986;20/09/1989 00:00
987;12/11/1989 00:00
988;30/05/2010 00:00
989;17/01/1990 00:00
990;28/02/1990 00:00
991;19/05/1990 00:00
992;04/07/1990 00:00
993;26/09/1990 00:00
994;13/11/1990 00:00
995;08/04/1991 00:00
996;09/05/1991 00:00
997;10/07/1991 00:00
998;01/09/1991 00:00
999;03/11/1991 00:00
1000;14/10/1991 00:00
1001;04/02/1992 00:00
1002;04/03/1992 00:00
1003;30/07/1992 00:00
1004;30/07/1993 00:00
1005;14/08/1993 00:00
1006;01/03/1994 00:00
1007;06/02/1994 00:00
1008;17/01/1994 00:00
1009;26/04/1994 00:00
1010;12/12/1994 00:00
1011;09/06/1995 00:00
1012;15/06/1995 00:00
1013;15/07/1995 00:00
1014;06/10/1995 00:00
1015;11/12/1995 00:00
1016;29/11/1995 00:00
1017;19/02/1996 00:00
1018;19/05/1996 00:00
1019;06/07/1996 00:00
1020;08/05/1996 00:00
1021;21/06/1996 00:00
1022;18/07/1996 00:00
1023;25/07/1996 00:00
1024;24/03/1997 00:00
1025;03/04/1997 00:00
1026;23/04/1997 00:00
1027;14/05/1997 00:00
1028;20/06/1997 00:00
1029;10/01/1998 00:00
1030;10/03/1998 00:00
1031;04/08/2008 00:00
1032;15/04/1998 00:00
1033;21/05/1998 00:00
1034;31/07/1998 00:00
1035;05/07/1998 00:00
1036;17/08/1998 00:00
1037;29/12/1998 00:00
1038;25/11/1998 00:00
1039;15/01/1999 00:00
1040;30/07/1999 00:00
1041;30/06/1999 00:00
1042;31/05/1999 00:00
1043;22/06/1999 00:00
1044;25/06/1999 00:00
1045;19/06/1999 00:00
1046;01/07/1999 00:00
1047;05/07/1999 00:00
1048;22/01/2000 00:00
1049;14/04/2000 00:00
1050;21/04/2000 00:00
1051;11/11/2000 00:00
1052;07/06/2002 00:00
1053;22/05/2002 00:00
1054;30/06/2002 00:00
1055;31/10/2003 00:00
1056;31/08/2003 00:00
1057;23/10/2003 00:00
1058;20/02/2004 00:00
1059;26/03/2004 00:00
1060;11/07/2004 00:00
1061;14/08/2004 00:00
1062;31/01/2005 00:00
1063;31/03/2005 00:00
1064;15/05/2005 00:00
1065;14/05/2005 00:00
1066;27/05/2005 00:00
1067;18/06/2006 00:00
1068;05/07/2006 00:00
1069;07/07/2006 00:00
1070;02/12/2006 00:00
1071;13/04/2007 00:00
1072;17/06/2007 00:00
1073;26/07/2007 00:00
1074;07/08/2007 00:00
1075;09/08/2007 00:00
1076;02/05/2008 00:00
1077;19/05/2008 00:00
1078;06/07/2008 00:00
1079;07/05/1979 00:00
1080;09/06/2008 00:00
1081;07/05/2008 00:00
1082;31/08/2008 00:00
1083;17/05/2008 00:00
1084;08/01/2009 00:00
1085;01/02/2010 00:00
1086;31/08/2009 00:00
1087;03/08/2009 00:00
1088;04/07/2009 00:00
1089;04/05/2009 00:00
1090;06/07/2010 00:00
1091;28/10/2009 00:00
1092;22/08/2010 00:00
1093;10/11/2010 00:00
1094;25/05/2008 00:00
1095;03/01/2010 00:00
1096;02/07/2010 00:00
1097;14/12/2010 00:00
1098;01/10/2002 00:00
1099;08/09/2010 00:00
1100;07/11/1978 00:00
1101;05/04/1987 00:00
1102;20/07/1989 00:00
1103;18/10/1989 00:00
1104;25/06/1922 00:00
1105;09/11/1996 00:00
1106;15/12/2010 00:00
1107;12/05/1999 00:00
1108;08/06/2005 00:00
1109;25/07/2005 00:00
1110;05/10/1922 00:00
1111;21/05/2009 00:00
1112;01/07/2009 00:00
1113;09/05/1923 00:00
1114;01/09/1927 00:00
1115;25/08/1927 00:00
1116;20/01/1929 00:00
1117;09/04/1929 00:00
1118;29/09/1931 00:00
1119;01/01/1938 00:00
1120;01/02/1934 00:00
1121;24/04/1934 00:00
1122;01/07/1935 00:00
1123;15/01/1935 00:00
1124;12/03/1936 00:00
1125;23/04/1936 00:00
1126;19/07/1936 00:00
1127;17/07/1936 00:00
1128;25/03/1936 00:00
1129;14/01/1937 00:00
1130;28/04/1937 00:00
1131;15/10/1938 00:00
1132;15/06/1941 00:00
1133;12/12/1944 00:00
1134;08/02/1947 00:00
1135;12/04/1947 00:00
1136;31/10/1948 00:00
1137;29/03/1950 00:00
1138;08/04/1950 00:00
1139;15/06/1950 00:00
1140;01/05/1952 00:00
1141;31/12/1953 00:00
1142;05/09/1953 00:00
1143;18/02/1954 00:00
1144;13/09/1954 00:00
1145;31/08/1955 00:00
1146;15/10/1954 00:00
1147;18/01/1956 00:00
1148;31/08/1956 00:00
1149;31/12/1958 00:00
1150;02/03/1958 00:00
1151;14/05/1960 00:00
1152;07/03/1963 00:00
1153;31/05/1961 00:00
1154;14/10/1961 00:00
1155;08/10/1962 00:00
1156;04/04/1962 00:00
1157;28/07/1963 00:00
1158;02/12/1964 00:00
1159;20/04/1967 00:00
1160;12/10/1967 00:00
1161;21/05/1969 00:00
1162;06/02/1970 00:00
1163;05/05/1970 00:00
1164;28/06/1970 00:00
1165;15/02/1971 00:00
1166;30/04/1971 00:00
1167;16/08/1971 00:00
1168;24/09/1986 00:00
1169;01/06/1972 00:00
1170;30/04/1973 00:00
1171;13/06/1972 00:00
1172;05/05/1973 00:00
1173;31/07/1974 00:00
1174;30/06/1974 00:00
1175;31/05/1974 00:00
1176;21/05/1974 00:00
1177;31/05/1975 00:00
1178;03/02/1976 00:00
1179;31/01/1977 00:00
1180;15/04/1976 00:00
1181;15/07/1976 00:00
1182;05/04/1976 00:00
1183;11/08/1976 00:00
1184;31/08/1978 00:00
1185;16/01/1978 00:00
1186;11/07/1978 00:00
1187;20/02/1979 00:00
1188;31/05/1979 00:00
1189;07/09/1979 00:00
1190;16/11/1979 00:00
1191;07/07/1980 00:00
1192;22/03/1980 00:00
1193;27/12/1980 00:00
1194;20/02/1981 00:00
1195;31/10/1981 00:00
1196;06/06/1982 00:00
1197;03/08/1982 00:00
1198;20/03/1983 00:00
1199;31/08/1983 00:00
1200;19/01/1983 00:00
1201;10/03/1983 00:00
1202;09/07/1983 00:00
1203;25/12/1983 00:00
1204;31/08/1984 00:00
1205;08/02/1984 00:00
1206;05/01/1984 00:00
1207;17/02/1984 00:00
1208;06/05/1984 00:00
1209;28/04/1984 00:00
1210;31/07/1984 00:00
1211;15/04/1984 00:00
1212;08/10/1984 00:00
1213;12/10/1984 00:00
1214;02/03/1985 00:00
1215;31/08/1985 00:00
1216;06/04/1985 00:00
1217;13/11/1992 00:00
1218;25/02/2011 00:00
1219;22/05/2011 00:00
1220;16/06/2011 00:00
1221;22/06/2011 00:00
1222;14/06/2011 00:00
1223;09/07/2011 00:00
1224;09/06/2011 00:00
1225;28/05/2011 00:00
1226;28/06/2011 00:00
1227;31/05/2011 00:00
1228;27/06/2011 00:00
1229;25/07/2011 00:00
1230;14/07/2011 00:00
1231;22/08/2011 00:00
1232;25/09/2010 00:00
1233;30/08/2011 00:00
1234;25/03/2012 00:00
1235;01/04/2012 00:00
1236;20/07/2012 00:00
1237;25/06/2012 00:00
1238;03/10/2012 00:00
1239;12/09/2012 00:00
1240;29/05/2012 00:00
1241;10/10/2012 00:00
1242;28/07/2013 00:00
1243;30/06/2012 00:00
1244;31/05/2013 00:00
1245;28/06/2013 00:00
1246;07/06/2012 00:00
1247;22/10/2013 00:00
1248;01/08/2012 00:00
1249;11/09/2012 00:00
1250;06/08/2012 00:00
1251;30/09/2014 00:00
1252;18/09/2014 00:00
1253;21/06/2013 00:00
1254;27/02/2012 00:00
1255;12/08/2014 00:00
1256;01/02/2014 00:00
1257;02/05/2014 00:00
1258;21/10/2014 00:00
1259;26/12/2013 00:00
1260;01/01/2014 00:00
1261;03/07/2013 00:00
1262;06/07/2014 00:00
1263;03/01/2014 00:00
1264;01/05/2014 00:00
1265;14/07/2014 00:00
1266;30/07/2014 00:00
1267;18/07/2015 00:00
1268;03/08/2015 00:00
1269;11/05/2015 00:00
1270;09/03/2015 00:00
1271;23/06/2015 00:00
1272;12/05/2015 00:00
1273;17/02/2015 00:00
1274;29/05/2015 00:00
1275;20/04/2015 00:00
1276;18/02/2015 00:00
1277;11/09/2015 00:00
1278;05/08/2015 00:00
1279;29/11/2016 00:00
1280;21/12/2016 00:00
1281;18/11/2016 00:00
1282;26/02/2016 00:00
1283;26/03/2016 00:00
1284;25/08/2016 00:00
1285;06/07/2016 00:00
1286;16/10/2016 00:00
1287;08/10/2016 00:00
1288;10/03/2016 00:00
1289;17/06/2016 00:00
1290;25/06/2016 00:00
1291;11/07/2016 00:00
1292;30/06/2016 00:00
1293;16/07/2016 00:00
1294;21/04/2016 00:00
1295;31/07/2016 00:00
1296;01/06/2016 00:00
